17,15,20,19,14
19,28,15,14,15
18,21,16,12,14
14,30,17,14,20
15,29,11,11,19
20,26,14,14,15
19,29,17,13,16
12,25,12,15,12
11,20,18,12,10
17,26,11,10,20
17,28,19,10,12
12,29,17,13,13
13,26,18,17,10
16,23,19,12,14
13,29,11,10,14
11,26,20,20,19
18,26,19,20,17
18,26,19,20,18
18,21,19,20,17
17,27,12,17,13
10,27,10,16,15
20,23,13,12,13
15,29,11,20,13
15,23,10,20,14
16,23,19,17,17
12,26,11,13,13
19,23,15,17,11
12,24,13,18,15
18,20,17,19,17
16,27,14,18,18
12,20,11,13,15
10,22,17,11,20
15,20,19,19,19
20,27,13,10,20
12,21,16,16,19
14,26,12,10,20
12,22,17,10,11
16,29,17,15,13
20,26,10,12,12
13,29,20,12,16
15,28,18,14,12
17,26,11,10,16
17,27,12,19,17
12,27,11,14,11
16,27,17,19,16
13,21,14,12,11
17,23,17,12,16
15,30,20,18,14
12,25,17,20,17
20,20,14,10,12
11,29,17,10,10
14,25,12,19,13
10,28,13,20,15
14,25,20,20,17
19,25,18,17,11
12,20,12,11,16
18,21,20,10,18
14,26,16,19,11
19,27,13,12,14
15,20,11,17,19
14,21,17,19,10
17,29,11,15,19
17,20,14,15,11
11,21,18,20,15
13,21,14,19,18
13,27,20,10,10
13,22,10,17,18
14,29,13,20,11
13,30,15,20,12
10,29,11,12,12
18,24,20,14,15
11,23,12,19,11
17,25,13,20,16
20,27,12,20,16
18,21,19,12,10
14,28,10,12,18
19,24,12,12,14
20,28,13,14,12
19,23,16,12,13
10,26,15,11,17
12,20,11,17,16
10,20,14,11,17
14,24,20,15,10
11,23,12,18,14
15,26,14,16,14
18,30,18,13,18
20,22,15,10,10
14,26,16,19,19
20,21,10,15,20
14,29,17,20,13
11,25,20,17,19
11,27,19,11,10
13,28,14,18,17
11,24,13,16,12
10,29,18,14,10
20,20,17,20,15
16,25,12,20,15
17,29,16,17,19
19,20,13,17,15
12,22,12,12,12
